title,latitude,longitude,description,company,salary_is_predicted,redirect_url,adref,id,category,location,created,__CLASS__,contract_time,salary_max,salary_min,contract_type
Duales Studium Wirtschaftsinformatik - Data Science 2026,49.18975,9.2274,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",0,https://www.adzuna.de/land/ad/5299022197?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjE5NyIsInMiOiIwbFNSa3dPSDhCR1B0WVBJT3pzS3BBIn0.pJkrkn5WVJgwhlFcD1XGmm0KazG9Oyj65kEKwH2Y_2E,5299022197,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",2025-07-12T06:09:52Z,Adzuna::API::Response::Job,,,,
Professur (m/w/d) für Data Science und Programmierung,53.364317,7.197297,"Bodenständig, friesisch, authentisch – und in einer Spitzenposition, wenn es um zukunftsweisende Innovationen geht: Die Hochschule Emden/​Leer ist Impulsgeberin für die Region. An der Hochschule Emden/Leer, die sich als innovative, richtungs­weisende Zukunftshochschule versteht , ist im Fachbereich Technik in der Abteilung Elektrotechnik und Informatik am Campus Emden zum nächstmöglichen Zeitpunkt folgende Professur der BesGr. W 2 zu besetzen: Professur (m/w/d) für Data Science und Programmieru…","{'display_name': 'Hochschule Emden/Leer', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5354046399?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=AE461C6E3B6DD6FE9B7713E6D9303BDE921462E2,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM1NDA0NjM5OSIsInMiOiIwbFNSa3dPSDhCR1B0WVBJT3pzS3BBIn0.nTgL2RObJdyLsb8Si1eXYRwpvHFUtB41THZX2zVjGeM,5354046399,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","{'display_name': 'Emden, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Emden'], '__CLASS__': 'Adzuna::API::Response::Location'}",2025-08-15T19:42:21Z,Adzuna::API::Response::Job,,,,
Professur (m/w/d) für das Gebiet Applied Data Science,53.550256,8.087806,"An der Jade Hochschule in Wilhelmshaven, Oldenburg und Elsfleth studieren rund 6.400 Menschen mit mehr als 200 Professorinnen und Professoren. Lehre und Forschung zeichnen sich durch innovative Ansätze, kooperative Zusammenarbeit und eine zugewandte Haltung aus. In allen Bereichen fördert die Hochschule Kompetenz und Vielfalt. Die Jade Hochschule entwickelt aufgrund der herausragenden Bedeutung der Künstlichen Intelligenz bis zum Jahr 2030 eine Identität als KI-Hochschule und setzt diese Identi…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth'}",0,https://www.adzuna.de/land/ad/5343934752?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=0E7E80DC217E0CBFD7124E15AFAE2F24AE15B6CD,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMGxTUmt3T0g4QkdQdFlQSU96c0twQSIsImkiOiI1MzQzOTM0NzUyIn0.3nMi04gpJDiWHuMegrhcFdsWEwAV0kd3mfXELphhUYU,5343934752,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'area': ['Deutschland', 'Niedersachsen', 'Wilhelmshaven'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wilhelmshaven, Niedersachsen'}",2025-08-08T19:14:12Z,Adzuna::API::Response::Job,,,,
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,48.776198,9.187224,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…","{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5369985688?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=484E57DBA13B7320C988FF9092887073F5F2901E,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM2OTk4NTY4OCIsInMiOiIwbFNSa3dPSDhCR1B0WVBJT3pzS3BBIn0.7mNOpufZf28QCDLcM4d5pYsIg5gN9jsbnE2lpDVNN5U,5369985688,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}",2025-08-27T07:56:04Z,Adzuna::API::Response::Job,,,,
Duales Studium Data Science und KI - Smart Operations Management 2026,49.18975,9.2274,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5299022067?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMGxTUmt3T0g4QkdQdFlQSU96c0twQSIsImkiOiI1Mjk5MDIyMDY3In0.Df6UOf8j7JRhzgaIovPbUxug-B0_aawbHAj2QaPW9vM,5299022067,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",2025-07-12T06:09:51Z,Adzuna::API::Response::Job,,,,
Postdoktorand (w/m/d) im Bereich Data Science und KI befristet in Vollzeit,48.04792,10.88248,"Die Technische Hochschule Augsburg ist mit 7.500 Studierenden und über 600 Mitarbeitenden in Lehre, Forschung und Verwaltung wichtiger wirtschaftlicher Motor und Innovationsschmiede für die Region. Gemeinsam gestalten wir die Welt – kreativ, sinnhaft und die Zukunft prägend. Die Technische Hochschule Augsburg sucht zum nächstmöglichen Zeitpunkt einen Postdoktoranden (w/m/d) im Bereich Data Science und KI befristet in Vollzeit in einem der folgenden Forschungsbereiche: GenAI (LLM/VLM/Diffusion m…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Technische Hochschule Augsburg'}",0,https://www.adzuna.de/land/ad/5373675725?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=68ECC2FFE28D7E4DD477AF9EDDB75F6F08E5457F,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM3MzY3NTcyNSIsInMiOiIwbFNSa3dPSDhCR1B0WVBJT3pzS3BBIn0.hotCy3gAC3CIQN4_riml43ngj5GfbqQtcXaQm_bt648,5373675725,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","{'display_name': 'Landsberg am Lech, Landsberg am Lech (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Landsberg am Lech (Kreis)', 'Landsberg am Lech']}",2025-08-29T19:56:31Z,Adzuna::API::Response::Job,,,,
Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),,,"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leuze electronic GmbH + Co. KG'}",0,https://www.adzuna.de/land/ad/5343933355?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=B0250CEDADFD66FDEB1E4B8C77A2CCC69A9F066E,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMGxTUmt3T0g4QkdQdFlQSU96c0twQSIsImkiOiI1MzQzOTMzMzU1In0.o8C7zlSvtvfD0HU4TfnWccE8x5G-aePqiL5sBLKuXwo,5343933355,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",2025-08-08T19:14:07Z,Adzuna::API::Response::Job,,,,
Duales Studium Data Science und Künstliche Intelligenz (w/m/d) 2026,49.403755,8.696891,"Heidelberg Materials ist einer der weltweit größten integrierten Hersteller von Baustoffen und -lösungen mit führenden Marktpositionen bei Zement, Zuschlagstoffen und Transportbeton. Wir sind mit mehr als 51.000 Beschäftigten an fast 3.000 Standorten in über 50 Ländern vertreten. Im Mittelpunkt unseres Handelns steht die Verantwortung für die Umwelt. Als Vorreiter auf dem Weg zur CO2-Neutralität und Kreislaufwirtschaft in der Baustoffindustrie arbeiten wir an nachhaltigen Baustoffen und Lösunge…","{'display_name': 'Heidelberg Materials AG', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5360497687?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=8EEE0C41B3FD7E4438780FDC4ECEEE4A6A019171,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMGxTUmt3T0g4QkdQdFlQSU96c0twQSIsImkiOiI1MzYwNDk3Njg3In0._uQ_GMgNgx3y7K1GhRluGV23p1rxExS9rADWUnZrU-w,5360497687,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heidelberg'], 'display_name': 'Heidelberg, Baden-Württemberg'}",2025-08-20T19:46:54Z,Adzuna::API::Response::Job,,,,
Duales Studium (DHBW) - Data Science und künstliche Intelligenz (m/w/d) 2026,49.56892,10.88109,"Du bist technikbegeistert und voller Ideen, mit denen Du die Welt bewegen willst? Dann ist eine Ausbildung oder ein duales Studium bei Schaeffler genau das Richtige für Dich. Ohne unsere Produkte könnten Autos nicht fahren, Maschinen nicht laufen und Flugzeuge nicht fliegen. Als führender Anbieter von Wälzlagern für sämtliche Industrien und wichtiger Partner im internationalen Automobilbau bietet Dir Schaeffler ein hervorragendes Umfeld für Deinen Start in die Berufswelt. Aufgaben Im Überblick:…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schaeffler Technologies AG & Co. KG'}",0,https://www.adzuna.de/land/ad/5347995836?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=BC2BA1FF821085C8D5A75E3DA7B6E6515733FE89,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM0Nzk5NTgzNiIsInMiOiIwbFNSa3dPSDhCR1B0WVBJT3pzS3BBIn0.HIYsoz9Wdnsj5y13y7_Z-Szv9CudswqWTc81C29kp0c,5347995836,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Erlangen-Höchstadt (Kreis)', 'Herzogenaurach'], 'display_name': 'Herzogenaurach, Erlangen-Höchstadt (Kreis)'}",2025-08-11T19:43:20Z,Adzuna::API::Response::Job,,,,
"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",48.78408,10.10558,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",0,https://www.adzuna.de/land/ad/5255157657?se=0lSRkwOH8BGPtYPIOzsKpA&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMGxTUmt3T0g4QkdQdFlQSU96c0twQSIsImkiOiI1MjU1MTU3NjU3In0.ExnueQScg_7eyjTq6XiQn1rpGOghQNwkiMvFBEH5To0,5255157657,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",2025-06-17T20:17:09Z,Adzuna::API::Response::Job,,,,
