redirect_url,location,id,title,category,description,created,adref,company,__CLASS__,salary_is_predicted,latitude,longitude,contract_time,salary_min,salary_max,contract_type
https://www.adzuna.de/land/ad/5622808218?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=110A6B0F5094B1E4BE4DEA1F8A3FDBEE864D3C4F,"{'area': ['Deutschland'], 'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5622808218,Duales Studium Data Science und Künstliche Intelligenz (B.Sc.) – Start Herbst 2026,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Wegweisende Ideen, höchste Qualitätsansprüche, maximaler Kundennutzen: Rund um den Globus setzen wir mit über 4.700 Mitarbeiterinnen und Mitarbeitern Maßstäbe. Unser Handeln wird weltweit bestimmt von unserem Leitbild und unseren Werten – innovativ, eigenverantwortlich und seriös. Kern unseres fischerProzessSystems (fPS) ist es, in allen Unternehmensbereichen Prozesse ständig weiter zu verbessern, diese an den Bedürfnissen unserer Kunden auszurichten, Verschwendung zu vermeiden und wertschöpfen…",2026-02-10T18:18:52Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NjIyODA4MjE4In0.G2d-gfMzmBTGclhubZeF4VdVBmfVjbatPO0rSioegUs,"{'display_name': 'fischerwerke GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,,,,,,
https://www.adzuna.de/land/ad/5625693261?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=D85CECAD00327D4E444DAC2A3516869EEA21CE36,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Obertshausen, Offenbach (Kreis)', 'area': ['Deutschland', 'Hessen', 'Offenbach (Kreis)', 'Obertshausen']}",5625693261,Duales Studium Bachelor of Science (B.Sc.) Data Science und Künstliche Intelligenz,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Wir sind MAINGAU – ein ambitioniertes Energie- und Techunternehmen mit klarem Fokus auf technologiegetriebene Lösungen für die Energiewelt von morgen. Mehr als 1.000.000 Kundenbeziehungen europaweit und ein Umsatz von 1,3 Milliarden Euro in 2024 machen uns zu einem der am schnellsten wachsenden Energieunternehmen Deutschlands. Neben dem Strom- und Gasvertrieb bieten wir vielfältige Produkte in den Bereichen E-Mobilität, Internet und Mobilfunk und betreiben einen Onlineshop. An unserem Standort …",2026-02-12T05:59:13Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NjI1NjkzMjYxIn0.AOZmWaNYUo5Wp2j9K_AlNIduX-hRc1OIvJQ9boCO2_Q,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'MAINGAU Energie GmbH'}",Adzuna::API::Response::Job,0,50.08229,8.86518,,,,
https://www.adzuna.de/land/ad/5623843571?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=80CF7043925935BFD87EE7E50F5269C86DE8B27C,"{'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Ostfildern'], 'display_name': 'Ostfildern, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",5623843571,DHBW Student Wirtschaftsinformatik - Data Science (m/w/d),"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","Tagtäglich stellen wir unser Wissen bereit - stets aktuelle Daten und Informationen rund ums Auto. Wir arbeiten beispielsweise für faire, unabhängig ermittelte Gebrauchtwagen- und Reparaturpreise für alle. Dabei übernimmt jeder Einzelne gerne Verantwortung für seine Aufgaben und: Es macht uns großen Spaß, gemeinsam erfolgreich zu sein. Weltweit entwickeln 550 Mitdenker und Mitdenkerinnen aus 26 Nationen zukunftsweisende IT-Lösungen, die den digitalen Wandel voranbringen. Aufgaben Ausbildungssta…",2026-02-11T06:03:26Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NjIzODQzNTcxIn0.2cumwSyKtUBEU13C3UUY-mIaAceDttfIhZTk1Hv-v2M,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'DAT Deutsche Automobil Treuhand GmbH'}",Adzuna::API::Response::Job,0,48.72761,9.24596,,,,
https://www.adzuna.de/land/ad/5622827043?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=6F0F6BFAF91A70F3661116729F900C331C3DA182,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Ellwangen (Jagst)'], 'display_name': 'Ellwangen (Jagst), Ostalbkreis'}",5622827043,Leitung KI & Data Science (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Beraterstellen', 'tag': 'consultancy-jobs'}","Um zukünftige Innovationen voranzutreiben, integrieren wir die fortschrittlichsten Techniken in den Bereichen Künstliche Intelligenz (KI), Maschinelles Lernen (ML) und Data Science in unsere Produkte und suchen hierfür eine Leitung KI & Data Science (m/w/d) . Zur Stelle: Vollzeit mit 40 Wochenstunden Remote-fähig: Nach der Einarbeitungszeit mobiles Arbeiten zu 25% möglich (75% Präsenz in Ellwangen) Eintrittstermin baldmöglichst Die Arnulf Betzold GmbH ist der führende Universal-Ausstatter für S…",2026-02-10T18:21:50Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NjIyODI3MDQzIn0.ctDCQvE8q5NzZv4-5rtcPrb9A-tb5pDNKQsFp0v91d8,"{'display_name': 'Arnulf Betzold GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,48.96103,10.13064,,,,
https://www.adzuna.de/land/ad/5622817856?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=404F5FB72C4F7F8D9EE26AE8371D1C61670FFAB2,"{'display_name': 'Offenburg, Ortenaukreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location'}",5622817856,Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",2026-02-10T18:20:07Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NjIyODE3ODU2In0.0FWeM2aQwjNgoOZVKBwy_WsoJyMqQgHC_b46XIAl78g,"{'display_name': 'Markant Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,48.42392,7.94837,,,,
https://www.adzuna.de/land/ad/5594082110?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=8251AA5915FB842C51521546D7B7612D1CDC1052,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Mecklenburg-Vorpommern', 'Rostock', 'Biestow'], 'display_name': 'Biestow, Rostock'}",5594082110,W3-Professur für Data Engineering for Data Science,"{'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Lehrberufe'}","An der Fakultät für Informatik und Elektrotechnik ist zum nächstmöglichen Zeitpunkt – vorbehaltlich haushaltsrechtlicher Regelungen – die W3-Professur für Data Engineering for Data Science zu besetzen. Daten sind essentiell in der modernen Gesellschaft und ein wichtiger Baustein in vielen Geschäftsmodellen. Data Science, die sich auf die systematische Gewinnung von Erkenntnissen und Wissen aus großen Datenbeständen und Rohdaten konzentriert, ist für jede wirtschaftliche, staatliche und wissensc…",2026-01-21T18:16:03Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NTk0MDgyMTEwIn0.iX8v-V-QiFoQOl8jIQSGkNsmT8AAKsw4_VDoTg3Dbss,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Universität Rostock'}",Adzuna::API::Response::Job,0,54.03683,12.12967,,,,
https://www.adzuna.de/land/ad/5550398973?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=148C3908A1BDDEDD29E11CED57FBDF3118DBD1FA,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ravensburg (Kreis), Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Ravensburg (Kreis)']}",5550398973,Abschlussarbeit Data Science (m/w/d),"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","Du interessiert dich für klassisches maschinelles Lernen und Data Science und möchtest einen vielfältigen Praxiseinblick, der dich weiterbringt? Dann hallo bei Vetter! Klingt das spannend für dich? Im Rahmen deiner Masterarbeit tauchst du tief in die Welt von Textdaten aus unseren Qualitätsprozessen ein. Dein Ziel ist es, mit Methoden aus dem Natural Language Processing (NLP) und Machine-Learning-Algorithmen Erkenntnisse zu gewinnen, die echten Mehrwert schaffen. Dabei arbeitest du eng mit unse…",2025-12-20T20:39:24Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NTUwMzk4OTczIn0.SapKuHg9GNonv50r4v_CxA8rmCl0rA0L3HlLWGKGmnQ,"{'display_name': 'Ausbildungsbetrieb Vetter Pharma-Fertigung GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,47.839602,9.667396,,,,
https://www.adzuna.de/land/ad/5626170398?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=5628CD8D26BDDF01C1CB6BD2B38C4C9167CA76A2,"{'area': ['Deutschland', 'Hessen', 'Frankfurt am Main'], 'display_name': 'Frankfurt am Main, Hessen', '__CLASS__': 'Adzuna::API::Response::Location'}",5626170398,Data Science Expert (ESCB/IO) - Inklusiver Job   ,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","General Information Type of contract: Short-term contract, which may be extended to up to 36 months subject to individual performance and organisational needs Contract end date: 30.09.2028 Who can apply?: EU nationals working for national central banks of the ESCB, international governmental organisations or other employers performing central banking or banking supervision tasks within the framework of the Eurosystem Salary: F/G (bracket 1 - step 1) full time monthly net salary: €7,465 plus ben…",2026-02-12T16:49:29Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NjI2MTcwMzk4In0.Fam9-dazGo_r0R1Y5B26brxgkvvJq7gO0Bghzn1D3mM,"{'display_name': 'European Central Bank', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,50.129683,8.650578,,,,
https://www.adzuna.de/land/ad/5548107233?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=2DB274CD3DAAA49A7A73E9770CA034AC97B175B5,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",5548107233,Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen'}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",2025-12-19T04:17:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NTQ4MTA3MjMzIn0.L6nHpd5wpzyuWPpVyQDENNeXo7tw68ubthoQ1KXCVuw,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,49.18975,9.2274,full_time,,,
https://www.adzuna.de/land/ad/5594053785?se=KNwAMgwL8RGOErafwVY7NA&utm_medium=api&utm_source=a4bcf954&v=6E7F19B8F8E83D9FFEAD0A9AC15D351913B7CE42,"{'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5594053785,Lehrkraft & Mentor (m/w/d) für Data Science und KI,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","Wir sind die DSI Education GmbH , gegründet 2019 – ein zertifizierter Bildungsträger mit Fokus auf Data & Künstliche Intelligenz. Mit unserem YouTube-Kanal „Data Science Institute – Fabian Rappert“ erreichen wir über 62.000 Abonnent:innen im deutschsprachigen Raum und gehören zu den führenden Plattformen für Tech-Transformation. Unser Anspruch: Nicht nur Wissen vermitteln, sondern Begeisterung entfachen. Du liebst die Abwechslung zwischen Live-Lehre, kreativem Content und individueller Begleitu…",2026-01-21T17:18:08Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS053QU1nd0w4UkdPRXJhZndWWTdOQSIsImkiOiI1NTk0MDUzNzg1In0.BCspYJI64EO_TP7-ti7uHVta-vPKTSMqONqA8FC4MEA,"{'display_name': 'DSI Education GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,0,52.507706,13.420806,,,,
