company,category,redirect_url,latitude,id,created,location,salary_is_predicted,__CLASS__,description,title,adref,longitude,contract_time,salary_max,salary_min,contract_type
"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5733288662?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,49.18975,5733288662,2026-05-18T19:45:18Z,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",0,Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Duales Studium Wirtschaftsinformatik - Data Science 2027,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI4ODY2MiIsInMiOiJZdjJvWXJ0bzhSR0p0NUxBeElhQ1d3In0.Lmh6qwqiaTFTSZY1e-V_-4qiwfIQ2Rw-NNYhZDsEtvY,9.2274,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'S Rating und Risikosysteme GmbH'}","{'tag': 'accounting-finance-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Buchhaltung & Finanzwesen'}",https://www.adzuna.de/land/ad/5742427760?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=151823D9BA71C14E33D6B16BA049671E629AFFB3,52.507706,5742427760,2026-05-27T19:56:49Z,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland'}",0,Adzuna::API::Response::Job,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risiko­manage­ments in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risiko­messung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zent…",Senior Spezialist (m/w/d) – Meldewesen | Regulatorik | Data Science,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXYyb1lydG84UkdKdDVMQXhJYUNXdyIsImkiOiI1NzQyNDI3NzYwIn0.-eOOxMr2PRQKCqjeqCeHd9qCmpUiBH0Tixz1PXcxOww,13.420806,,,,
"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5733974483?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,49.18975,5733974483,2026-05-19T13:53:54Z,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",0,Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Duales Studium Data Science und KI - Smart Operations Management 2027,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXYyb1lydG84UkdKdDVMQXhJYUNXdyIsImkiOiI1NzMzOTc0NDgzIn0.zkjaNIv1UjKan13GTk1jxJsQUCmAcrsAKl_GfI5QgUM,9.2274,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5754505254?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=700A7F714FB3DF942776796CD2BECFEBA1CD57D3,49.001249,5754505254,2026-06-06T14:47:19Z,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], 'display_name': 'Karlsruhe, Karlsruhe (Kreis)'}",0,Adzuna::API::Response::Job,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,Duales Studium Data Science & Künstliche Intelligenz B.Sc. ab September 2027,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXYyb1lydG84UkdKdDVMQXhJYUNXdyIsImkiOiI1NzU0NTA1MjU0In0.-4PRORx4TsQtzIJsH0U67wk5zHfK26gmpUxM39vDBp0,8.412378,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5756341554?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=F033E80308723428007EA65D8C6562980C550962,48.776198,5756341554,2026-06-08T17:06:58Z,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,Adzuna::API::Response::Job,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXYyb1lydG84UkdKdDVMQXhJYUNXdyIsImkiOiI1NzU2MzQxNTU0In0.FVWEGw6vUQLsL8kJIMaJmh0jXhkUEjLZRyV7ECHmrNo,9.187224,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Group AG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5756818698?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=2D8FD42376E9FC9CAE26D6FDC7210E899DE805C0,48.745846,5756818698,2026-06-09T04:54:43Z,"{'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar']}",0,Adzuna::API::Response::Job,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Mercedes-Benz Group AG, Stuttgart, 01.10.2027 (m/w/d)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NjgxODY5OCIsInMiOiJZdjJvWXJ0bzhSR0p0NUxBeElhQ1d3In0.pdi8sIwoyoonO5pfdWNHZprh1pW1e6FZz05W-UxoIS8,9.315933,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Tech Innovation'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5744676942?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=4AAC7479814C5CDB58BFEF3331A7DB0DE7B05FA5,48.383137,5744676942,2026-05-29T17:01:57Z,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ulm, Baden-Württemberg'}",0,Adzuna::API::Response::Job,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2027 (m/w/d/x),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXYyb1lydG84UkdKdDVMQXhJYUNXdyIsImkiOiI1NzQ0Njc2OTQyIn0.2rJNhvwQj4NolAZ_CtsKkg6eaiY5mD2q0cu740HCR2o,9.856945,,,,
"{'display_name': 'Deutsche Sporthochschule Köln', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",https://www.adzuna.de/land/ad/5744688029?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=E83578B6772823E706F5096684533CDCAD19A39E,50.940164,5744688029,2026-05-29T18:21:58Z,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Köln'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Köln, Nordrhein-Westfalen'}",0,Adzuna::API::Response::Job,"50933 Köln Hybrid Vollzeit Sofort Die Deutsche Sporthochschule Köln (DSHS) ist mit aktuell über 6.300 Studierenden aus rund 93 Ländern ein national wie international herausragender Hochschulstandort. Die DSHS steht für exzellente Forschung mit hohem Drittmittelvolumen und für forschungsbasierte sowie internationale Lehre in der Sportpraxis und allen sozial- und lebenswissenschaftlichen Teildisziplinen der Sportwissenschaft. Forschung, Lehre und Transfer werden von der Verwaltung und den zentral…",W1-Juniorprofessur Data Science (mit Tenure Track zu W2) (m/w/d) (2617-W1-Data Science),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWXYyb1lydG84UkdKdDVMQXhJYUNXdyIsImkiOiI1NzQ0Njg4MDI5In0.9T3HedeaikMYmIUt6RXoDsavTSzvprjoUj7oSiSxs4g,6.969972,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Creditplus Bank AG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'consultancy-jobs', 'label': 'Beraterstellen'}",https://www.adzuna.de/land/ad/5763670644?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=555A619FCE01E45CCCC283E7A6A91B9004E0EED8,48.776198,5763670644,2026-06-14T17:58:05Z,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",0,Adzuna::API::Response::Job,"Wir machen Wünsche machbar – unsere Mission ist es, das Leben unserer Kunden zu bereichern und mit unseren Finanzdienstleistungen Träume zu verwirklichen. Wir verstehen uns nicht als typische Bank, sondern als lebendige Gemeinschaft von Gestaltern, die keine Angst davor haben, neue Wege zu gehen . Dabei setzen wir uns alle auch noch für Themen mit Impact wie Nachhaltigkeit und Digitalisierung ein – ob in unserer Zentrale in Stuttgart, an unserem Standort in Offenbach oder deutschlandweit in uns…",Data Science Manager (m/w/d) Project & Operational Development,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MzY3MDY0NCIsInMiOiJZdjJvWXJ0bzhSR0p0NUxBeElhQ1d3In0.Qea2zejcJYgH6Ovw2Ufl6-8yNno00XXM_-v7VqBR058,9.187224,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deutsche Sporthochschule Köln'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5744688033?se=Yv2oYrto8RGJt5LAxIaCWw&utm_medium=api&utm_source=a4bcf954&v=D2C547A201C8087219BC1082F787457831F1A4D9,50.940164,5744688033,2026-05-29T18:21:58Z,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Köln'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Köln, Nordrhein-Westfalen'}",0,Adzuna::API::Response::Job,"W1 Junior Professorship Data Science (with tenure track to W2) (female/male/diverse) (2617-W1-Data Science) 2617-W1-Data Science 50933 Cologne Hybrid Fulltime Immediately With more than 6.300 students from 93 countries, the German Sport University Cologne (GSU) is an outstanding university location both nationally and internationally. The GSU stands for proven research with a high volume of third-party funding and research-based as well as international teaching in sports practice and in all so…",W1 Junior Professorship Data Science (with tenure track to W2) (female/male/diverse) (2617-W1-Data Science),eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NDY4ODAzMyIsInMiOiJZdjJvWXJ0bzhSR0p0NUxBeElhQ1d3In0.R91DqraPe5RCiUDdt9kVzFCiEmS-jw2dI56YDV6Sb5Y,6.969972,,,,
